period,source_id,source_label,destination_id,destination_label,estimate,moe
2021,ALABAMA,"Alabama",ALASKA,"Alaska",12,29
2021,ALABAMA,"Alabama",ARIZONA,"Arizona",1338,1009
2021,ALABAMA,"Alabama",ARKANSAS,"Arkansas",1271,943
2021,ALABAMA,"Alabama",CALIFORNIA,"California",3369,1420
2021,ALABAMA,"Alabama",COLORADO,"Colorado",2070,1081
2021,ALABAMA,"Alabama",CONNECTICUT,"Connecticut",532,464
2021,ALABAMA,"Alabama",DELAWARE,"Delaware",43,64
2021,ALABAMA,"Alabama",DISTRICT_OF_COLUMBIA,"District of Columbia",275,220
2021,ALABAMA,"Alabama",FLORIDA,"Florida",22507,4614
2021,ALABAMA,"Alabama",GEORGIA,"Georgia",15873,3792
2021,ALABAMA,"Alabama",HAWAII,"Hawaii",1349,1262
2021,ALABAMA,"Alabama",IDAHO,"Idaho",406,510
2021,ALABAMA,"Alabama",ILLINOIS,"Illinois",3399,1509
2021,ALABAMA,"Alabama",INDIANA,"Indiana",3146,2738
2021,ALABAMA,"Alabama",IOWA,"Iowa",444,417
2021,ALABAMA,"Alabama",KANSAS,"Kansas",606,579
2021,ALABAMA,"Alabama",KENTUCKY,"Kentucky",1950,825
2021,ALABAMA,"Alabama",LOUISIANA,"Louisiana",3594,1977
2021,ALABAMA,"Alabama",MAINE,"Maine",225,296
2021,ALABAMA,"Alabama",MARYLAND,"Maryland",468,481
2021,ALABAMA,"Alabama",MASSACHUSETTS,"Massachusetts",915,803
2021,ALABAMA,"Alabama",MICHIGAN,"Michigan",3065,1630
2021,ALABAMA,"Alabama",MINNESOTA,"Minnesota",499,409
2021,ALABAMA,"Alabama",MISSISSIPPI,"Mississippi",4186,1636
2021,ALABAMA,"Alabama",MISSOURI,"Missouri",2380,1320
2021,ALABAMA,"Alabama",NEBRASKA,"Nebraska",64,150
2021,ALABAMA,"Alabama",NEVADA,"Nevada",1150,681
2021,ALABAMA,"Alabama",NEW_JERSEY,"New Jersey",1965,1206
2021,ALABAMA,"Alabama",NEW_MEXICO,"New Mexico",1061,1524
2021,ALABAMA,"Alabama",NEW_YORK,"New York",2085,866
2021,ALABAMA,"Alabama",NORTH_CAROLINA,"North Carolina",2613,1078
2021,ALABAMA,"Alabama",NORTH_DAKOTA,"North Dakota",254,317
2021,ALABAMA,"Alabama",OHIO,"Ohio",1702,716
2021,ALABAMA,"Alabama",OKLAHOMA,"Oklahoma",851,573
2021,ALABAMA,"Alabama",OREGON,"Oregon",416,496
2021,ALABAMA,"Alabama",PENNSYLVANIA,"Pennsylvania",1928,1171
2021,ALABAMA,"Alabama",RHODE_ISLAND,"Rhode Island",156,230
2021,ALABAMA,"Alabama",SOUTH_CAROLINA,"South Carolina",424,446
2021,ALABAMA,"Alabama",TENNESSEE,"Tennessee",7418,1787
2021,ALABAMA,"Alabama",TEXAS,"Texas",10616,3786
2021,ALABAMA,"Alabama",UTAH,"Utah",436,437
2021,ALABAMA,"Alabama",VERMONT,"Vermont",21,35
2021,ALABAMA,"Alabama",VIRGINIA,"Virginia",5382,3161
2021,ALABAMA,"Alabama",WASHINGTON,"Washington",1385,1010
2021,ALABAMA,"Alabama",WEST_VIRGINIA,"West Virginia",315,412
2021,ALABAMA,"Alabama",WISCONSIN,"Wisconsin",1477,1139
2021,ALASKA,"Alaska",ALABAMA,"Alabama",517,279
2021,ALASKA,"Alaska",ARIZONA,"Arizona",977,474
2021,ALASKA,"Alaska",CALIFORNIA,"California",3808,1838
2021,ALASKA,"Alaska",COLORADO,"Colorado",922,630
2021,ALASKA,"Alaska",DELAWARE,"Delaware",339,565
2021,ALASKA,"Alaska",FLORIDA,"Florida",2163,1127
2021,ALASKA,"Alaska",GEORGIA,"Georgia",1551,958
2021,ALASKA,"Alaska",HAWAII,"Hawaii",1316,1008
2021,ALASKA,"Alaska",IDAHO,"Idaho",503,353
2021,ALASKA,"Alaska",ILLINOIS,"Illinois",417,289
2021,ALASKA,"Alaska",INDIANA,"Indiana",218,334
2021,ALASKA,"Alaska",KANSAS,"Kansas",452,441
2021,ALASKA,"Alaska",KENTUCKY,"Kentucky",1250,1100
2021,ALASKA,"Alaska",MARYLAND,"Maryland",772,619
2021,ALASKA,"Alaska",MASSACHUSETTS,"Massachusetts",722,768
2021,ALASKA,"Alaska",MICHIGAN,"Michigan",1024,771
2021,ALASKA,"Alaska",MINNESOTA,"Minnesota",179,264
2021,ALASKA,"Alaska",MONTANA,"Montana",867,851
2021,ALASKA,"Alaska",NEBRASKA,"Nebraska",9,20
2021,ALASKA,"Alaska",NEVADA,"Nevada",535,526
2021,ALASKA,"Alaska",NEW_HAMPSHIRE,"New Hampshire",276,409
2021,ALASKA,"Alaska",NEW_JERSEY,"New Jersey",15,29
2021,ALASKA,"Alaska",NEW_MEXICO,"New Mexico",1871,1286
2021,ALASKA,"Alaska",NEW_YORK,"New York",70,86
2021,ALASKA,"Alaska",NORTH_CAROLINA,"North Carolina",1396,706
2021,ALASKA,"Alaska",OHIO,"Ohio",12,22
2021,ALASKA,"Alaska",OKLAHOMA,"Oklahoma",929,983
2021,ALASKA,"Alaska",OREGON,"Oregon",337,245
2021,ALASKA,"Alaska",PENNSYLVANIA,"Pennsylvania",345,395
2021,ALASKA,"Alaska",SOUTH_CAROLINA,"South Carolina",141,199
2021,ALASKA,"Alaska",SOUTH_DAKOTA,"South Dakota",221,369
2021,ALASKA,"Alaska",TENNESSEE,"Tennessee",449,382
2021,ALASKA,"Alaska",TEXAS,"Texas",3563,1381
2021,ALASKA,"Alaska",UTAH,"Utah",210,257
2021,ALASKA,"Alaska",VIRGINIA,"Virginia",963,696
