period,source_id,source_label,destination_id,destination_label,estimate,moe
2005,ALABAMA,"Alabama",ALABAMA,"Alabama",580353,22382
2005,ALABAMA,"Alabama",ALASKA,"Alaska",608,432
2005,ALABAMA,"Alabama",ARIZONA,"Arizona",574,542
2005,ALABAMA,"Alabama",ARKANSAS,"Arkansas",3168,1655
2005,ALABAMA,"Alabama",CALIFORNIA,"California",3025,1149
2005,ALABAMA,"Alabama",COLORADO,"Colorado",1922,1155
2005,ALABAMA,"Alabama",CONNECTICUT,"Connecticut",321,359
2005,ALABAMA,"Alabama",DELAWARE,"Delaware",563,636
2005,ALABAMA,"Alabama",DISTRICT_OF_COLUMBIA,"District of Columbia",191,256
2005,ALABAMA,"Alabama",FLORIDA,"Florida",15641,3260
2005,ALABAMA,"Alabama",GEORGIA,"Georgia",17776,3359
2005,ALABAMA,"Alabama",HAWAII,"Hawaii",753,725
2005,ALABAMA,"Alabama",IDAHO,"Idaho",162,194
2005,ALABAMA,"Alabama",ILLINOIS,"Illinois",3410,1135
2005,ALABAMA,"Alabama",INDIANA,"Indiana",1705,885
2005,ALABAMA,"Alabama",IOWA,"Iowa",375,522
2005,ALABAMA,"Alabama",KANSAS,"Kansas",397,429
2005,ALABAMA,"Alabama",KENTUCKY,"Kentucky",1712,988
2005,ALABAMA,"Alabama",LOUISIANA,"Louisiana",4887,1697
2005,ALABAMA,"Alabama",MAINE,"Maine",24,40
2005,ALABAMA,"Alabama",MARYLAND,"Maryland",1653,1027
2005,ALABAMA,"Alabama",MASSACHUSETTS,"Massachusetts",361,280
2005,ALABAMA,"Alabama",MICHIGAN,"Michigan",2878,1454
2005,ALABAMA,"Alabama",MINNESOTA,"Minnesota",58,99
2005,ALABAMA,"Alabama",MISSISSIPPI,"Mississippi",10093,2842
2005,ALABAMA,"Alabama",MISSOURI,"Missouri",1768,1059
2005,ALABAMA,"Alabama",NEBRASKA,"Nebraska",409,434
2005,ALABAMA,"Alabama",NEVADA,"Nevada",709,534
2005,ALABAMA,"Alabama",NEW_HAMPSHIRE,"New Hampshire",461,696
2005,ALABAMA,"Alabama",NEW_JERSEY,"New Jersey",951,888
2005,ALABAMA,"Alabama",NEW_MEXICO,"New Mexico",540,483
2005,ALABAMA,"Alabama",NEW_YORK,"New York",3222,1455
2005,ALABAMA,"Alabama",NORTH_CAROLINA,"North Carolina",1512,793
