period,source_id,source_label,destination_id,destination_label,estimate,moe
2009,ALABAMA,"Alabama",ALABAMA,"Alabama",579815,18712
2009,ALABAMA,"Alabama",ALASKA,"Alaska",982,788
2009,ALABAMA,"Alabama",ARIZONA,"Arizona",1183,832
2009,ALABAMA,"Alabama",ARKANSAS,"Arkansas",373,310
2009,ALABAMA,"Alabama",CALIFORNIA,"California",4447,2040
2009,ALABAMA,"Alabama",COLORADO,"Colorado",1191,723
2009,ALABAMA,"Alabama",CONNECTICUT,"Connecticut",130,182
2009,ALABAMA,"Alabama",DELAWARE,"Delaware",212,338
2009,ALABAMA,"Alabama",DISTRICT_OF_COLUMBIA,"District of Columbia",99,135
2009,ALABAMA,"Alabama",FLORIDA,"Florida",15799,3202
2009,ALABAMA,"Alabama",GEORGIA,"Georgia",20889,3782
2009,ALABAMA,"Alabama",HAWAII,"Hawaii",786,540
2009,ALABAMA,"Alabama",IDAHO,"Idaho",1072,669
2009,ALABAMA,"Alabama",ILLINOIS,"Illinois",3177,1486
2009,ALABAMA,"Alabama",INDIANA,"Indiana",3946,2079
2009,ALABAMA,"Alabama",IOWA,"Iowa",458,437
2009,ALABAMA,"Alabama",KANSAS,"Kansas",457,381
2009,ALABAMA,"Alabama",KENTUCKY,"Kentucky",1765,1034
2009,ALABAMA,"Alabama",LOUISIANA,"Louisiana",4174,1688
2009,ALABAMA,"Alabama",MAINE,"Maine",710,594
2009,ALABAMA,"Alabama",MARYLAND,"Maryland",2709,2308
2009,ALABAMA,"Alabama",MASSACHUSETTS,"Massachusetts",104,148
2009,ALABAMA,"Alabama",MICHIGAN,"Michigan",3964,2103
2009,ALABAMA,"Alabama",MINNESOTA,"Minnesota",621,447
2009,ALABAMA,"Alabama",MISSISSIPPI,"Mississippi",7941,3447
2009,ALABAMA,"Alabama",MISSOURI,"Missouri",1069,561
2009,ALABAMA,"Alabama",MONTANA,"Montana",456,458
2009,ALABAMA,"Alabama",NEVADA,"Nevada",567,576
2009,ALABAMA,"Alabama",NEW_HAMPSHIRE,"New Hampshire",99,133
2009,ALABAMA,"Alabama",NEW_JERSEY,"New Jersey",664,838
2009,ALABAMA,"Alabama",NEW_MEXICO,"New Mexico",404,285
2009,ALABAMA,"Alabama",NEW_YORK,"New York",2463,1344
2009,ALABAMA,"Alabama",NORTH_CAROLINA,"North Carolina",7152,2516
2009,ALABAMA,"Alabama",NORTH_DAKOTA,"North Dakota",39,63
2009,ALABAMA,"Alabama",OHIO,"Ohio",3265,1488
2009,ALABAMA,"Alabama",OKLAHOMA,"Oklahoma",1316,1099
2009,ALABAMA,"Alabama",OREGON,"Oregon",125,133
2009,ALABAMA,"Alabama",PENNSYLVANIA,"Pennsylvania",1015,617
2009,ALABAMA,"Alabama",RHODE_ISLAND,"Rhode Island",448,603
2009,ALABAMA,"Alabama",SOUTH_CAROLINA,"South Carolina",2445,971
2009,ALABAMA,"Alabama",TENNESSEE,"Tennessee",7948,2313
2009,ALABAMA,"Alabama",TEXAS,"Texas",8718,2831
2009,ALABAMA,"Alabama",UTAH,"Utah",382,322
2009,ALABAMA,"Alabama",VIRGINIA,"Virginia",5821,1900
2009,ALABAMA,"Alabama",WASHINGTON,"Washington",991,356
2009,ALABAMA,"Alabama",WEST_VIRGINIA,"West Virginia",215,215
2009,ALABAMA,"Alabama",WISCONSIN,"Wisconsin",1026,622
2009,ALABAMA,"Alabama",WYOMING,"Wyoming",258,249
2009,ALASKA,"Alaska",ALABAMA,"Alabama",1390,1677
2009,ALASKA,"Alaska",ALASKA,"Alaska",107051,7518
2009,ALASKA,"Alaska",ARIZONA,"Arizona",1285,552
2009,ALASKA,"Alaska",ARKANSAS,"Arkansas",209,254
2009,ALASKA,"Alaska",CALIFORNIA,"California",3780,1484
2009,ALASKA,"Alaska",COLORADO,"Colorado",1460,1213
2009,ALASKA,"Alaska",CONNECTICUT,"Connecticut",313,451
2009,ALASKA,"Alaska",DELAWARE,"Delaware",86,107
2009,ALASKA,"Alaska",DISTRICT_OF_COLUMBIA,"District of Columbia",47,80
