period,source_id,source_label,destination_id,destination_label,estimate,moe
2018,ALABAMA,"Alabama",ALASKA,"Alaska",419,384
2018,ALABAMA,"Alabama",ARIZONA,"Arizona",1915,975
2018,ALABAMA,"Alabama",ARKANSAS,"Arkansas",1051,736
2018,ALABAMA,"Alabama",CALIFORNIA,"California",2659,1147
2018,ALABAMA,"Alabama",COLORADO,"Colorado",1672,827
2018,ALABAMA,"Alabama",CONNECTICUT,"Connecticut",747,421
2018,ALABAMA,"Alabama",DELAWARE,"Delaware",826,804
2018,ALABAMA,"Alabama",FLORIDA,"Florida",14298,2683
2018,ALABAMA,"Alabama",GEORGIA,"Georgia",18433,4546
2018,ALABAMA,"Alabama",HAWAII,"Hawaii",627,393
2018,ALABAMA,"Alabama",ILLINOIS,"Illinois",3310,1670
2018,ALABAMA,"Alabama",INDIANA,"Indiana",1874,1173
2018,ALABAMA,"Alabama",IOWA,"Iowa",704,635
2018,ALABAMA,"Alabama",KANSAS,"Kansas",357,319
2018,ALABAMA,"Alabama",KENTUCKY,"Kentucky",4216,2722
2018,ALABAMA,"Alabama",LOUISIANA,"Louisiana",2837,1403
2018,ALABAMA,"Alabama",MARYLAND,"Maryland",493,364
2018,ALABAMA,"Alabama",MASSACHUSETTS,"Massachusetts",445,301
2018,ALABAMA,"Alabama",MICHIGAN,"Michigan",2231,875
2018,ALABAMA,"Alabama",MINNESOTA,"Minnesota",915,531
2018,ALABAMA,"Alabama",MISSISSIPPI,"Mississippi",7653,2337
2018,ALABAMA,"Alabama",MISSOURI,"Missouri",1851,784
2018,ALABAMA,"Alabama",MONTANA,"Montana",76,126
2018,ALABAMA,"Alabama",NEBRASKA,"Nebraska",756,1058
2018,ALABAMA,"Alabama",NEVADA,"Nevada",97,128
2018,ALABAMA,"Alabama",NEW_JERSEY,"New Jersey",1213,821
2018,ALABAMA,"Alabama",NEW_MEXICO,"New Mexico",58,99
2018,ALABAMA,"Alabama",NEW_YORK,"New York",3226,1789
2018,ALABAMA,"Alabama",NORTH_CAROLINA,"North Carolina",2224,925
2018,ALABAMA,"Alabama",OHIO,"Ohio",1299,634
2018,ALABAMA,"Alabama",OKLAHOMA,"Oklahoma",931,550
2018,ALABAMA,"Alabama",PENNSYLVANIA,"Pennsylvania",1771,855
2018,ALABAMA,"Alabama",SOUTH_CAROLINA,"South Carolina",1218,554
2018,ALABAMA,"Alabama",SOUTH_DAKOTA,"South Dakota",281,397
2018,ALABAMA,"Alabama",TENNESSEE,"Tennessee",12228,3181
2018,ALABAMA,"Alabama",TEXAS,"Texas",5719,1678
2018,ALABAMA,"Alabama",UTAH,"Utah",79,86
2018,ALABAMA,"Alabama",VIRGINIA,"Virginia",5221,3465
2018,ALABAMA,"Alabama",WASHINGTON,"Washington",2125,1147
2018,ALABAMA,"Alabama",WEST_VIRGINIA,"West Virginia",176,254
2018,ALABAMA,"Alabama",WISCONSIN,"Wisconsin",996,489
2018,ALABAMA,"Alabama",WYOMING,"Wyoming",74,122
