period,source_id,source_label,destination_id,destination_label,estimate,moe
2022,ALABAMA,"Alabama",ALASKA,"Alaska",714,660
2022,ALABAMA,"Alabama",ARIZONA,"Arizona",1202,684
2022,ALABAMA,"Alabama",ARKANSAS,"Arkansas",1536,1130
2022,ALABAMA,"Alabama",CALIFORNIA,"California",8012,2839
2022,ALABAMA,"Alabama",COLORADO,"Colorado",3329,1679
2022,ALABAMA,"Alabama",CONNECTICUT,"Connecticut",868,803
2022,ALABAMA,"Alabama",DELAWARE,"Delaware",694,419
2022,ALABAMA,"Alabama",DISTRICT_OF_COLUMBIA,"District of Columbia",85,156
2022,ALABAMA,"Alabama",FLORIDA,"Florida",18236,3684
2022,ALABAMA,"Alabama",GEORGIA,"Georgia",23155,4416
2022,ALABAMA,"Alabama",HAWAII,"Hawaii",1256,1226
2022,ALABAMA,"Alabama",IDAHO,"Idaho",294,269
2022,ALABAMA,"Alabama",ILLINOIS,"Illinois",4328,1969
2022,ALABAMA,"Alabama",INDIANA,"Indiana",1693,974
2022,ALABAMA,"Alabama",IOWA,"Iowa",363,389
2022,ALABAMA,"Alabama",KANSAS,"Kansas",1403,1228
2022,ALABAMA,"Alabama",KENTUCKY,"Kentucky",2892,1442
2022,ALABAMA,"Alabama",LOUISIANA,"Louisiana",5461,1679
2022,ALABAMA,"Alabama",MAINE,"Maine",141,145
2022,ALABAMA,"Alabama",MARYLAND,"Maryland",1517,1207
2022,ALABAMA,"Alabama",MASSACHUSETTS,"Massachusetts",599,521
2022,ALABAMA,"Alabama",MICHIGAN,"Michigan",1033,749
2022,ALABAMA,"Alabama",MINNESOTA,"Minnesota",322,260
2022,ALABAMA,"Alabama",MISSISSIPPI,"Mississippi",5736,1546
2022,ALABAMA,"Alabama",MISSOURI,"Missouri",1421,794
2022,ALABAMA,"Alabama",MONTANA,"Montana",150,208
2022,ALABAMA,"Alabama",NEBRASKA,"Nebraska",102,176
2022,ALABAMA,"Alabama",NEVADA,"Nevada",188,182
2022,ALABAMA,"Alabama",NEW_HAMPSHIRE,"New Hampshire",855,995
2022,ALABAMA,"Alabama",NEW_JERSEY,"New Jersey",1207,933
2022,ALABAMA,"Alabama",NEW_MEXICO,"New Mexico",536,494
2022,ALABAMA,"Alabama",NEW_YORK,"New York",3827,1381
2022,ALABAMA,"Alabama",NORTH_CAROLINA,"North Carolina",3320,1462
2022,ALABAMA,"Alabama",NORTH_DAKOTA,"North Dakota",712,736
2022,ALABAMA,"Alabama",OHIO,"Ohio",2223,1235
2022,ALABAMA,"Alabama",OKLAHOMA,"Oklahoma",785,508
2022,ALABAMA,"Alabama",OREGON,"Oregon",752,785
2022,ALABAMA,"Alabama",PENNSYLVANIA,"Pennsylvania",3330,2942
2022,ALABAMA,"Alabama",RHODE_ISLAND,"Rhode Island",158,243
2022,ALABAMA,"Alabama",SOUTH_CAROLINA,"South Carolina",6298,2409
2022,ALABAMA,"Alabama",SOUTH_DAKOTA,"South Dakota",259,312
2022,ALABAMA,"Alabama",TENNESSEE,"Tennessee",11634,2997
2022,ALABAMA,"Alabama",TEXAS,"Texas",10102,2188
2022,ALABAMA,"Alabama",UTAH,"Utah",577,479
2022,ALABAMA,"Alabama",VERMONT,"Vermont",194,330
2022,ALABAMA,"Alabama",VIRGINIA,"Virginia",3654,2040
2022,ALABAMA,"Alabama",WASHINGTON,"Washington",1639,1055
2022,ALABAMA,"Alabama",WEST_VIRGINIA,"West Virginia",268,270
2022,ALABAMA,"Alabama",WISCONSIN,"Wisconsin",203,213
2022,ALABAMA,"Alabama",PUERTO_RICO,"Puerto Rico",311,509
2022,ALABAMA,"Alabama",FOREIGN_COUNTRY,"Foreign Country",13181,2464
2022,ALASKA,"Alaska",ALABAMA,"Alabama",151,125
2022,ALASKA,"Alaska",ARIZONA,"Arizona",1645,1041
2022,ALASKA,"Alaska",ARKANSAS,"Arkansas",10,32
2022,ALASKA,"Alaska",CALIFORNIA,"California",3855,1312
2022,ALASKA,"Alaska",COLORADO,"Colorado",665,693
2022,ALASKA,"Alaska",CONNECTICUT,"Connecticut",15,13
2022,ALASKA,"Alaska",DELAWARE,"Delaware",72,139
2022,ALASKA,"Alaska",DISTRICT_OF_COLUMBIA,"District of Columbia",14,28
2022,ALASKA,"Alaska",FLORIDA,"Florida",1575,775
2022,ALASKA,"Alaska",GEORGIA,"Georgia",834,1075
2022,ALASKA,"Alaska",HAWAII,"Hawaii",532,676
2022,ALASKA,"Alaska",IDAHO,"Idaho",309,340
2022,ALASKA,"Alaska",ILLINOIS,"Illinois",130,153
2022,ALASKA,"Alaska",INDIANA,"Indiana",296,469
2022,ALASKA,"Alaska",IOWA,"Iowa",108,115
2022,ALASKA,"Alaska",KANSAS,"Kansas",352,408
2022,ALASKA,"Alaska",KENTUCKY,"Kentucky",73,108
2022,ALASKA,"Alaska",LOUISIANA,"Louisiana",186,240
2022,ALASKA,"Alaska",MARYLAND,"Maryland",142,223
2022,ALASKA,"Alaska",MASSACHUSETTS,"Massachusetts",285,322
2022,ALASKA,"Alaska",MICHIGAN,"Michigan",40,66
2022,ALASKA,"Alaska",MINNESOTA,"Minnesota",356,260
2022,ALASKA,"Alaska",MISSISSIPPI,"Mississippi",70,100
2022,ALASKA,"Alaska",MISSOURI,"Missouri",367,270
2022,ALASKA,"Alaska",MONTANA,"Montana",1160,1069
2022,ALASKA,"Alaska",NEVADA,"Nevada",256,168
2022,ALASKA,"Alaska",NEW_HAMPSHIRE,"New Hampshire",62,24
2022,ALASKA,"Alaska",NEW_JERSEY,"New Jersey",40,65
2022,ALASKA,"Alaska",NEW_MEXICO,"New Mexico",287,302
2022,ALASKA,"Alaska",NEW_YORK,"New York",2430,2280
2022,ALASKA,"Alaska",NORTH_CAROLINA,"North Carolina",3305,2233
2022,ALASKA,"Alaska",NORTH_DAKOTA,"North Dakota",120,158
2022,ALASKA,"Alaska",OHIO,"Ohio",125,140
2022,ALASKA,"Alaska",OKLAHOMA,"Oklahoma",1993,1304
2022,ALASKA,"Alaska",OREGON,"Oregon",1409,757
2022,ALASKA,"Alaska",PENNSYLVANIA,"Pennsylvania",160,202
2022,ALASKA,"Alaska",SOUTH_CAROLINA,"South Carolina",393,377
2022,ALASKA,"Alaska",SOUTH_DAKOTA,"South Dakota",113,177
2022,ALASKA,"Alaska",TENNESSEE,"Tennessee",872,1229
2022,ALASKA,"Alaska",TEXAS,"Texas",3135,1464
2022,ALASKA,"Alaska",UTAH,"Utah",4215,3992
2022,ALASKA,"Alaska",VIRGINIA,"Virginia",345,248
2022,ALASKA,"Alaska",WASHINGTON,"Washington",3076,1168
2022,ALASKA,"Alaska",WISCONSIN,"Wisconsin",943,675
2022,ALASKA,"Alaska",WYOMING,"Wyoming",42,71
2022,ALASKA,"Alaska",PUERTO_RICO,"Puerto Rico",129,190
2022,ALASKA,"Alaska",FOREIGN_COUNTRY,"Foreign Country",4797,1855
2022,ARIZONA,"Arizona",ALABAMA,"Alabama",727,448
2022,ARIZONA,"Arizona",ALASKA,"Alaska",2091,1283
2022,ARIZONA,"Arizona",ARKANSAS,"Arkansas",1147,676
2022,ARIZONA,"Arizona",CALIFORNIA,"California",74157,8989
2022,ARIZONA,"Arizona",COLORADO,"Colorado",12232,2678
2022,ARIZONA,"Arizona",CONNECTICUT,"Connecticut",339,462
2022,ARIZONA,"Arizona",DELAWARE,"Delaware",970,627
2022,ARIZONA,"Arizona",DISTRICT_OF_COLUMBIA,"District of Columbia",152,183
2022,ARIZONA,"Arizona",FLORIDA,"Florida",4471,1357
2022,ARIZONA,"Arizona",GEORGIA,"Georgia",3046,1510
2022,ARIZONA,"Arizona",HAWAII,"Hawaii",1236,641
2022,ARIZONA,"Arizona",IDAHO,"Idaho",2628,815
2022,ARIZONA,"Arizona",ILLINOIS,"Illinois",10623,2221
2022,ARIZONA,"Arizona",INDIANA,"Indiana",3759,1363
2022,ARIZONA,"Arizona",IOWA,"Iowa",3228,1532
2022,ARIZONA,"Arizona",KANSAS,"Kansas",1240,575
2022,ARIZONA,"Arizona",KENTUCKY,"Kentucky",2143,1152
2022,ARIZONA,"Arizona",LOUISIANA,"Louisiana",734,598
2022,ARIZONA,"Arizona",MAINE,"Maine",647,669
2022,ARIZONA,"Arizona",MARYLAND,"Maryland",1955,1485
2022,ARIZONA,"Arizona",MASSACHUSETTS,"Massachusetts",3143,1291
2022,ARIZONA,"Arizona",MICHIGAN,"Michigan",7449,2042
2022,ARIZONA,"Arizona",MINNESOTA,"Minnesota",3927,1206
2022,ARIZONA,"Arizona",MISSISSIPPI,"Mississippi",600,570
2022,ARIZONA,"Arizona",MISSOURI,"Missouri",7362,3815
2022,ARIZONA,"Arizona",MONTANA,"Montana",4455,2319
2022,ARIZONA,"Arizona",NEBRASKA,"Nebraska",1972,1409
2022,ARIZONA,"Arizona",NEVADA,"Nevada",8890,2573
2022,ARIZONA,"Arizona",NEW_HAMPSHIRE,"New Hampshire",314,327
2022,ARIZONA,"Arizona",NEW_JERSEY,"New Jersey",3626,2038
2022,ARIZONA,"Arizona",NEW_MEXICO,"New Mexico",6263,2034
2022,ARIZONA,"Arizona",NEW_YORK,"New York",5071,1716
2022,ARIZONA,"Arizona",NORTH_CAROLINA,"North Carolina",3300,2137
2022,ARIZONA,"Arizona",NORTH_DAKOTA,"North Dakota",2086,1036
2022,ARIZONA,"Arizona",OHIO,"Ohio",5280,2181
2022,ARIZONA,"Arizona",OKLAHOMA,"Oklahoma",3096,1459
2022,ARIZONA,"Arizona",OREGON,"Oregon",12093,4764
2022,ARIZONA,"Arizona",PENNSYLVANIA,"Pennsylvania",4273,1515
2022,ARIZONA,"Arizona",RHODE_ISLAND,"Rhode Island",280,268
2022,ARIZONA,"Arizona",SOUTH_CAROLINA,"South Carolina",2398,1160
2022,ARIZONA,"Arizona",SOUTH_DAKOTA,"South Dakota",2850,1231
2022,ARIZONA,"Arizona",TENNESSEE,"Tennessee",4357,2321
2022,ARIZONA,"Arizona",TEXAS,"Texas",17404,3654
2022,ARIZONA,"Arizona",UTAH,"Utah",10597,3445
2022,ARIZONA,"Arizona",VERMONT,"Vermont",182,164
2022,ARIZONA,"Arizona",VIRGINIA,"Virginia",3791,1598
2022,ARIZONA,"Arizona",WASHINGTON,"Washington",21242,3291
2022,ARIZONA,"Arizona",WEST_VIRGINIA,"West Virginia",471,377
2022,ARIZONA,"Arizona",WISCONSIN,"Wisconsin",6569,2335
2022,ARIZONA,"Arizona",WYOMING,"Wyoming",1863,749
2022,ARIZONA,"Arizona",PUERTO_RICO,"Puerto Rico",608,521
2022,ARIZONA,"Arizona",FOREIGN_COUNTRY,"Foreign Country",45351,5674
2022,ARKANSAS,"Arkansas",ALABAMA,"Alabama",1911,1779
2022,ARKANSAS,"Arkansas",ALASKA,"Alaska",64,4
2022,ARKANSAS,"Arkansas",ARIZONA,"Arizona",1776,1012
2022,ARKANSAS,"Arkansas",CALIFORNIA,"California",7783,2545
2022,ARKANSAS,"Arkansas",COLORADO,"Colorado",2562,1218
2022,ARKANSAS,"Arkansas",CONNECTICUT,"Connecticut",210,201
2022,ARKANSAS,"Arkansas",FLORIDA,"Florida",7065,3094
2022,ARKANSAS,"Arkansas",GEORGIA,"Georgia",497,531
2022,ARKANSAS,"Arkansas",HAWAII,"Hawaii",74,124
2022,ARKANSAS,"Arkansas",IDAHO,"Idaho",1190,769
2022,ARKANSAS,"Arkansas",ILLINOIS,"Illinois",2383,1242
2022,ARKANSAS,"Arkansas",INDIANA,"Indiana",1330,1089
2022,ARKANSAS,"Arkansas",IOWA,"Iowa",460,460
2022,ARKANSAS,"Arkansas",KANSAS,"Kansas",1184,618
2022,ARKANSAS,"Arkansas",KENTUCKY,"Kentucky",2581,2256
2022,ARKANSAS,"Arkansas",LOUISIANA,"Louisiana",4994,2270
2022,ARKANSAS,"Arkansas",MAINE,"Maine",74,125
2022,ARKANSAS,"Arkansas",MARYLAND,"Maryland",1212,1024
2022,ARKANSAS,"Arkansas",MASSACHUSETTS,"Massachusetts",145,181
2022,ARKANSAS,"Arkansas",MICHIGAN,"Michigan",405,452
2022,ARKANSAS,"Arkansas",MINNESOTA,"Minnesota",1171,1480
2022,ARKANSAS,"Arkansas",MISSISSIPPI,"Mississippi",3380,1763
2022,ARKANSAS,"Arkansas",MISSOURI,"Missouri",3905,1215
2022,ARKANSAS,"Arkansas",MONTANA,"Montana",238,278
2022,ARKANSAS,"Arkansas",NEBRASKA,"Nebraska",270,292
2022,ARKANSAS,"Arkansas",NEVADA,"Nevada",630,841
2022,ARKANSAS,"Arkansas",NEW_HAMPSHIRE,"New Hampshire",62,105
2022,ARKANSAS,"Arkansas",NEW_JERSEY,"New Jersey",113,142
2022,ARKANSAS,"Arkansas",NEW_MEXICO,"New Mexico",1275,827
2022,ARKANSAS,"Arkansas",NEW_YORK,"New York",666,553
2022,ARKANSAS,"Arkansas",NORTH_CAROLINA,"North Carolina",451,421
2022,ARKANSAS,"Arkansas",OHIO,"Ohio",586,621
2022,ARKANSAS,"Arkansas",OKLAHOMA,"Oklahoma",5995,1983
2022,ARKANSAS,"Arkansas",OREGON,"Oregon",1809,1045
2022,ARKANSAS,"Arkansas",PENNSYLVANIA,"Pennsylvania",267,263
2022,ARKANSAS,"Arkansas",RHODE_ISLAND,"Rhode Island",35,61
2022,ARKANSAS,"Arkansas",SOUTH_CAROLINA,"South Carolina",400,391
2022,ARKANSAS,"Arkansas",TENNESSEE,"Tennessee",4970,2103
2022,ARKANSAS,"Arkansas",TEXAS,"Texas",17105,3171
2022,ARKANSAS,"Arkansas",UTAH,"Utah",470,408
2022,ARKANSAS,"Arkansas",VERMONT,"Vermont",146,234
2022,ARKANSAS,"Arkansas",VIRGINIA,"Virginia",978,669
2022,ARKANSAS,"Arkansas",WASHINGTON,"Washington",2703,1561
2022,ARKANSAS,"Arkansas",WEST_VIRGINIA,"West Virginia",43,27
2022,ARKANSAS,"Arkansas",WISCONSIN,"Wisconsin",481,430
2022,ARKANSAS,"Arkansas",WYOMING,"Wyoming",326,331
