period,source_id,source_label,destination_id,destination_label,estimate,moe
2023,ALABAMA,"Alabama",ALASKA,"Alaska",780,281
2023,ALABAMA,"Alabama",ARIZONA,"Arizona",4470,3225
2023,ALABAMA,"Alabama",ARKANSAS,"Arkansas",1584,719
2023,ALABAMA,"Alabama",CALIFORNIA,"California",4921,1888
2023,ALABAMA,"Alabama",COLORADO,"Colorado",1601,683
2023,ALABAMA,"Alabama",CONNECTICUT,"Connecticut",283,227
2023,ALABAMA,"Alabama",DELAWARE,"Delaware",330,406
2023,ALABAMA,"Alabama",DISTRICT_OF_COLUMBIA,"District of Columbia",273,380
2023,ALABAMA,"Alabama",FLORIDA,"Florida",17515,3402
2023,ALABAMA,"Alabama",GEORGIA,"Georgia",19270,4159
2023,ALABAMA,"Alabama",HAWAII,"Hawaii",775,604
2023,ALABAMA,"Alabama",IDAHO,"Idaho",105,192
2023,ALABAMA,"Alabama",ILLINOIS,"Illinois",3362,1248
2023,ALABAMA,"Alabama",INDIANA,"Indiana",1488,1085
2023,ALABAMA,"Alabama",IOWA,"Iowa",151,149
2023,ALABAMA,"Alabama",KANSAS,"Kansas",373,493
2023,ALABAMA,"Alabama",KENTUCKY,"Kentucky",1806,893
2023,ALABAMA,"Alabama",LOUISIANA,"Louisiana",2410,1495
2023,ALABAMA,"Alabama",MARYLAND,"Maryland",457,502
2023,ALABAMA,"Alabama",MASSACHUSETTS,"Massachusetts",504,432
2023,ALABAMA,"Alabama",MICHIGAN,"Michigan",1858,1803
2023,ALABAMA,"Alabama",MINNESOTA,"Minnesota",1224,898
2023,ALABAMA,"Alabama",MISSISSIPPI,"Mississippi",8391,2393
2023,ALABAMA,"Alabama",MISSOURI,"Missouri",1983,1706
2023,ALABAMA,"Alabama",MONTANA,"Montana",347,518
2023,ALABAMA,"Alabama",NEBRASKA,"Nebraska",295,445
2023,ALABAMA,"Alabama",NEVADA,"Nevada",1456,1165
2023,ALABAMA,"Alabama",NEW_HAMPSHIRE,"New Hampshire",152,248
2023,ALABAMA,"Alabama",NEW_JERSEY,"New Jersey",548,551
2023,ALABAMA,"Alabama",NEW_MEXICO,"New Mexico",600,679
2023,ALABAMA,"Alabama",NEW_YORK,"New York",2701,1617
2023,ALABAMA,"Alabama",NORTH_CAROLINA,"North Carolina",3656,1539
2023,ALABAMA,"Alabama",NORTH_DAKOTA,"North Dakota",128,141
2023,ALABAMA,"Alabama",OHIO,"Ohio",1993,1072
2023,ALABAMA,"Alabama",OKLAHOMA,"Oklahoma",481,361
2023,ALABAMA,"Alabama",OREGON,"Oregon",1416,1012
2023,ALABAMA,"Alabama",PENNSYLVANIA,"Pennsylvania",1341,875
2023,ALABAMA,"Alabama",RHODE_ISLAND,"Rhode Island",213,362
2023,ALABAMA,"Alabama",SOUTH_CAROLINA,"South Carolina",1642,798
2023,ALABAMA,"Alabama",SOUTH_DAKOTA,"South Dakota",62,81
2023,ALABAMA,"Alabama",TENNESSEE,"Tennessee",12640,2750
2023,ALABAMA,"Alabama",TEXAS,"Texas",7504,2161
2023,ALABAMA,"Alabama",UTAH,"Utah",497,428
2023,ALABAMA,"Alabama",VIRGINIA,"Virginia",3171,1933
2023,ALABAMA,"Alabama",WASHINGTON,"Washington",1586,1665
2023,ALABAMA,"Alabama",WEST_VIRGINIA,"West Virginia",311,357
2023,ALABAMA,"Alabama",WISCONSIN,"Wisconsin",718,394
2023,ALABAMA,"Alabama",WYOMING,"Wyoming",49,85
2023,ALABAMA,"Alabama",PUERTO_RICO,"Puerto Rico",415,490
2023,ALABAMA,"Alabama",FOREIGN_COUNTRY,"Foreign Country",17824,2559
2023,ALASKA,"Alaska",ALABAMA,"Alabama",204,312
2023,ALASKA,"Alaska",ARIZONA,"Arizona",618,650
2023,ALASKA,"Alaska",ARKANSAS,"Arkansas",159,265
2023,ALASKA,"Alaska",CALIFORNIA,"California",4697,2994
2023,ALASKA,"Alaska",COLORADO,"Colorado",1087,570
2023,ALASKA,"Alaska",DELAWARE,"Delaware",258,195
2023,ALASKA,"Alaska",DISTRICT_OF_COLUMBIA,"District of Columbia",220,236
2023,ALASKA,"Alaska",FLORIDA,"Florida",1380,894
2023,ALASKA,"Alaska",GEORGIA,"Georgia",411,664
2023,ALASKA,"Alaska",HAWAII,"Hawaii",1023,1293
2023,ALASKA,"Alaska",IDAHO,"Idaho",803,541
2023,ALASKA,"Alaska",ILLINOIS,"Illinois",73,130
2023,ALASKA,"Alaska",INDIANA,"Indiana",486,387
2023,ALASKA,"Alaska",IOWA,"Iowa",33,61
2023,ALASKA,"Alaska",KANSAS,"Kansas",1200,1081
2023,ALASKA,"Alaska",KENTUCKY,"Kentucky",781,1146
2023,ALASKA,"Alaska",LOUISIANA,"Louisiana",198,240
2023,ALASKA,"Alaska",MARYLAND,"Maryland",201,200
2023,ALASKA,"Alaska",MASSACHUSETTS,"Massachusetts",353,450
2023,ALASKA,"Alaska",MICHIGAN,"Michigan",152,240
2023,ALASKA,"Alaska",MINNESOTA,"Minnesota",611,365
2023,ALASKA,"Alaska",MISSISSIPPI,"Mississippi",174,248
2023,ALASKA,"Alaska",MISSOURI,"Missouri",107,125
2023,ALASKA,"Alaska",MONTANA,"Montana",936,778
2023,ALASKA,"Alaska",NEBRASKA,"Nebraska",387,339
2023,ALASKA,"Alaska",NEVADA,"Nevada",98,89
2023,ALASKA,"Alaska",NEW_HAMPSHIRE,"New Hampshire",18,24
2023,ALASKA,"Alaska",NEW_JERSEY,"New Jersey",513,362
2023,ALASKA,"Alaska",NEW_MEXICO,"New Mexico",22,28
2023,ALASKA,"Alaska",NEW_YORK,"New York",1232,923
2023,ALASKA,"Alaska",NORTH_CAROLINA,"North Carolina",1410,1123
2023,ALASKA,"Alaska",NORTH_DAKOTA,"North Dakota",156,231
2023,ALASKA,"Alaska",OHIO,"Ohio",601,535
2023,ALASKA,"Alaska",OKLAHOMA,"Oklahoma",275,429
2023,ALASKA,"Alaska",OREGON,"Oregon",3187,1614
2023,ALASKA,"Alaska",PENNSYLVANIA,"Pennsylvania",213,348
2023,ALASKA,"Alaska",SOUTH_CAROLINA,"South Carolina",211,281
2023,ALASKA,"Alaska",SOUTH_DAKOTA,"South Dakota",94,97
2023,ALASKA,"Alaska",TENNESSEE,"Tennessee",340,1119
2023,ALASKA,"Alaska",TEXAS,"Texas",980,697
2023,ALASKA,"Alaska",UTAH,"Utah",561,349
2023,ALASKA,"Alaska",VERMONT,"Vermont",45,74
2023,ALASKA,"Alaska",VIRGINIA,"Virginia",1331,1584
2023,ALASKA,"Alaska",WASHINGTON,"Washington",2283,952
2023,ALASKA,"Alaska",WISCONSIN,"Wisconsin",34,44
2023,ALASKA,"Alaska",WYOMING,"Wyoming",520,523
2023,ALASKA,"Alaska",PUERTO_RICO,"Puerto Rico",192,324
2023,ALASKA,"Alaska",FOREIGN_COUNTRY,"Foreign Country",4859,2403
2023,ARIZONA,"Arizona",ALABAMA,"Alabama",1373,839
2023,ARIZONA,"Arizona",ALASKA,"Alaska",2017,768
2023,ARIZONA,"Arizona",ARKANSAS,"Arkansas",1896,1024
2023,ARIZONA,"Arizona",CALIFORNIA,"California",54222,7111
2023,ARIZONA,"Arizona",COLORADO,"Colorado",8344,2224
2023,ARIZONA,"Arizona",CONNECTICUT,"Connecticut",1085,800
2023,ARIZONA,"Arizona",DELAWARE,"Delaware",514,341
2023,ARIZONA,"Arizona",DISTRICT_OF_COLUMBIA,"District of Columbia",74,130
2023,ARIZONA,"Arizona",FLORIDA,"Florida",12762,3520
2023,ARIZONA,"Arizona",GEORGIA,"Georgia",6326,3652
2023,ARIZONA,"Arizona",HAWAII,"Hawaii",2226,1047
2023,ARIZONA,"Arizona",IDAHO,"Idaho",5132,1631
2023,ARIZONA,"Arizona",ILLINOIS,"Illinois",9030,2564
2023,ARIZONA,"Arizona",INDIANA,"Indiana",2974,1466
2023,ARIZONA,"Arizona",IOWA,"Iowa",6805,3285
2023,ARIZONA,"Arizona",KANSAS,"Kansas",3383,1608
2023,ARIZONA,"Arizona",KENTUCKY,"Kentucky",1666,1039
2023,ARIZONA,"Arizona",LOUISIANA,"Louisiana",2514,1631
2023,ARIZONA,"Arizona",MAINE,"Maine",350,353
2023,ARIZONA,"Arizona",MARYLAND,"Maryland",1972,1477
2023,ARIZONA,"Arizona",MASSACHUSETTS,"Massachusetts",3316,1341
2023,ARIZONA,"Arizona",MICHIGAN,"Michigan",6740,2644
2023,ARIZONA,"Arizona",MINNESOTA,"Minnesota",5582,1677
2023,ARIZONA,"Arizona",MISSISSIPPI,"Mississippi",816,1065
2023,ARIZONA,"Arizona",MISSOURI,"Missouri",7390,3434
2023,ARIZONA,"Arizona",MONTANA,"Montana",2261,1014
2023,ARIZONA,"Arizona",NEBRASKA,"Nebraska",2694,1352
2023,ARIZONA,"Arizona",NEVADA,"Nevada",6341,2195
2023,ARIZONA,"Arizona",NEW_HAMPSHIRE,"New Hampshire",612,701
