period,source_id,source_label,destination_id,destination_label,estimate,moe
2005-2009,ALABAMA,"Alabama",ALABAMA,"Alabama",591046,10975
2005-2009,ALABAMA,"Alabama",ALASKA,"Alaska",1083,371
2005-2009,ALABAMA,"Alabama",ARIZONA,"Arizona",1039,317
2005-2009,ALABAMA,"Alabama",ARKANSAS,"Arkansas",1607,468
2005-2009,ALABAMA,"Alabama",CALIFORNIA,"California",4946,846
2005-2009,ALABAMA,"Alabama",COLORADO,"Colorado",1265,372
2005-2009,ALABAMA,"Alabama",CONNECTICUT,"Connecticut",334,164
2005-2009,ALABAMA,"Alabama",DELAWARE,"Delaware",620,495
2005-2009,ALABAMA,"Alabama",DISTRICT_OF_COLUMBIA,"District of Columbia",110,66
2005-2009,ALABAMA,"Alabama",FLORIDA,"Florida",18564,1723
2005-2009,ALABAMA,"Alabama",GEORGIA,"Georgia",22160,1805
2005-2009,ALABAMA,"Alabama",HAWAII,"Hawaii",745,362
2005-2009,ALABAMA,"Alabama",IDAHO,"Idaho",302,128
2005-2009,ALABAMA,"Alabama",ILLINOIS,"Illinois",3411,658
2005-2009,ALABAMA,"Alabama",INDIANA,"Indiana",2989,639
2005-2009,ALABAMA,"Alabama",IOWA,"Iowa",484,255
2005-2009,ALABAMA,"Alabama",KANSAS,"Kansas",404,143
2005-2009,ALABAMA,"Alabama",KENTUCKY,"Kentucky",2275,525
2005-2009,ALABAMA,"Alabama",LOUISIANA,"Louisiana",5307,939
2005-2009,ALABAMA,"Alabama",MAINE,"Maine",297,151
2005-2009,ALABAMA,"Alabama",MARYLAND,"Maryland",1741,526
2005-2009,ALABAMA,"Alabama",MASSACHUSETTS,"Massachusetts",346,154
2005-2009,ALABAMA,"Alabama",MICHIGAN,"Michigan",4194,776
2005-2009,ALABAMA,"Alabama",MINNESOTA,"Minnesota",572,187
2005-2009,ALABAMA,"Alabama",MISSISSIPPI,"Mississippi",9686,1159
2005-2009,ALABAMA,"Alabama",MISSOURI,"Missouri",1660,453
2005-2009,ALABAMA,"Alabama",MONTANA,"Montana",139,90
2005-2009,ALABAMA,"Alabama",NEBRASKA,"Nebraska",284,165
2005-2009,ALABAMA,"Alabama",NEVADA,"Nevada",473,241
2005-2009,ALABAMA,"Alabama",NEW_HAMPSHIRE,"New Hampshire",206,168
2005-2009,ALABAMA,"Alabama",NEW_JERSEY,"New Jersey",1181,409
2005-2009,ALABAMA,"Alabama",NEW_MEXICO,"New Mexico",438,160
2005-2009,ALABAMA,"Alabama",NEW_YORK,"New York",3713,614
2005-2009,ALABAMA,"Alabama",NORTH_CAROLINA,"North Carolina",3981,746
2005-2009,ALABAMA,"Alabama",NORTH_DAKOTA,"North Dakota",114,104
2005-2009,ALABAMA,"Alabama",OHIO,"Ohio",3413,704
2005-2009,ALABAMA,"Alabama",OKLAHOMA,"Oklahoma",1493,462
